Species, This.study,Derhe.et.al.2020,Total.no.spp-5yrs
Andropadus nigriceps,160,50.6,506
Apalis personata,100,9.8,98
Apalis porphyrolaema,164,37.7,377
Apaloderma narina,11,0.1,1
Batis diops,82,19.1,191
Batis molitor,10,1.3,13
Bradypterus cinnamomeus,521,211.6,2116
Buteo oreophilus,20,22.2,222
Centropus monachus,2,0.1,1
Chrysococcyx klaas,10,0.4,4
Cinnyris regius,116,38.1,381
Cinnyris stuhlmanni,275,255.8,2558
Cinnyris venustus,12,4.8,48
Cisticola chubbi,523,95.2,952
Colius striatus,12,8.7,87
Columba arquatrix,130,22.5,225
Crithagra frontalis,12,0.7,7
Cuculus solitarius,15,0.8,8
Cyanomitra alinae,17,2.3,23
Dessonornis archeri,299,70.1,701
Dryoscopus gambensis,60,9.6,96
Estrilda astrild,15,0.4,4
Estrilda atricapilla,70,10.2,102
Eurillas latirostris,258,15.7,157
Hedydipna collaris,13,0.5,5
Iduna natalensis,12,0.2,2
Iduna similis,283,77.2,772
Illadopsis pyrrhoptera,62,1.5,15
Laniarius aethiopicus,16,0.1,1
Laniarius poensis,222,68,680
Melaenornis fischeri,21,7.6,76
Melaniparus fasciiventer,29,15.6,156
Merops oreobates,10,0.3,3
Nectarinia johnstoni,57,43,430
Oreolais ruwenzorii,192,30.2,302
Phylloscopus laetus,184,63.5,635
Phylloscopus umbrovirens,40,40.8,408
Ploceus alienus,79,1.8,18
Ploceus baglafecht,10,5.4,54
Pogoniulus bilineatus,117,2.8,28
Pogonocichla stellata,21,18,180
Prinia bairdii,79,0.2,2
Psalidoprocne pristoptera,32,13.9,139
Pycnonotus barbatus,95,26.6,266
Ruwenzorornis johnstoni,68,52.8,528
Streptopelia lugens,7,7.5,75
Streptopelia semitorquata,60,5.1,51
Sylvia abyssinica,143,23.8,238
Telophorus dohertyi ,20,4.8,48
Terpsiphone viridis,22,2.3,23
Zosterops senegalensis,373,129.4,1294
