Species id,Family,Species name
1,Accipitridae,Buteo oreophilus
2,Alcedinidae,Halcyon chelicuti
3,Lybiidae,Pogoniulus bilineatus
4,Lybiidae,Pogoniulus coryphaeus
5,Lybiidae,Trachylaemus purpuratus
6,Colidae,Colius striatus
7,Columbidae,Columba arquatrix
8,Columbidae,Streptopelia lugens
9,Columbidae,Streptopelia semitorquata
10,Cuculidae,Centropus monachus
11,Cuculidae,Chrysococcyx klaas
12,Cuculidae,Cuculus solitarius
13,Estrildidae,Estrilda astrild
14,Estrildidae,Estrilda kandti
15,Fringillidae,Crithagra frontalis
16,Fringillidae,Crithagra gularis
17,Hirundinidae,Psalidoprocne pristoptera
18,Malaconotidae,Dryoscopus gambensis
19,Malaconotidae,Laniarius aethiopicus
20,Malaconotidae,Laniarius luehderi
21,Malaconotidae,Laniarius poensis
22,Malaconotidae,Telophorus dohertyi 
23,Meropidae,Merops oreobates
24,Platysteiridae,Batis diops
25,Platysteiridae,Batis molitor
26,Muscicapidae,Melaenornis fisheri
27,Muscicapidae,Bradornis comitatus
28,Monarchidae,Terpsiphone viridis
29,Musophagidae,Ruwenzorornis johnstoni
30,Musophagidae,Tauraco schuettii
31,Nectariniidae,Cinnyris regius
32,Nectariniidae,Cinnyris stuhlmanni
33,Nectariniidae,Cinnyris venustus
34,Nectariniidae,Cyanomitra alinae
35,Nectariniidae,Hedydipna collaris
36,Nectariniidae,Nectarinia johnstoni
37,Oriolidae,Oriolus percivali
38,Paridae,Melaniparus fasciiventer
39,Ploceidae,Ploceus alienus
40,Ploceidae,Ploceus baglafecht
41,Psittacidae,Poicephalus meyeri
42,Pycnonotidae,Eurillas latirostris 
43,Pycnonotidae,Andropadus nigriceps
44,Pycnonotidae,Pycnonotus barbatus
45,Cisticolidae,Apalis personata
46,Cisticolidae,Apalis porphyrolaema
47,Locustellidae,Bradypterus cinnamomeus
48,Acrocephalidae,Iduna natalensis
49,Acrocephalidae,Iduna similis
50,Cisticolidae,Cisticola chubbi
51,Cisticolidae,Oreolais ruwenzori
52,Phylloscopidae,Phylloscopus laetus
53,Phylloscopidae,Phylloscopus umbrovirens
54,Cisticolidae,Prinia bairdii
55,Macrosphenidae,Sylvietta leocophrys
56,Pellorneidae,Illadopsis pyrrhoptera
57,Modulatricidae,Kakamega poliothorax
58,Sylviidae,Pseudoalcippe abyssinica
59,Trogonidae,Apaloderma narina
60,Muscicapidae,Cossypha archeri
61,Muscicapidae,Pogonocichla stellata
62,Turdidae,Turdus olivaceus
63,Zosteropidae,Zosterops senegalensis
