"","x"
"1",76.6666666666667
"2",83.3333333333333
"3",76.6666666666667
"4",85
"5",80
"6",70
"7",68.3333333333333
"8",81.6666666666667
"9",83.3333333333333
"10",80
"11",73.3333333333333
"12",76.6666666666667
"13",83.3333333333333
"14",73.3333333333333
"15",75
"16",66.6666666666667
"17",81.6666666666667
"18",83.3333333333333
"19",76.6666666666667
"20",85
"21",68.3333333333333
"22",78.3333333333333
"23",73.3333333333333
"24",85
"25",73.3333333333333
"26",83.3333333333333
"27",76.6666666666667
"28",68.3333333333333
"29",78.3333333333333
"30",76.6666666666667
"31",81.6666666666667
"32",91.6666666666667
"33",76.6666666666667
"34",78.3333333333333
"35",81.6666666666667
"36",78.3333333333333
"37",80
"38",75
"39",80
"40",86.6666666666667
"41",76.6666666666667
"42",76.6666666666667
"43",66.6666666666667
"44",83.3333333333333
"45",83.3333333333333
"46",80
"47",83.3333333333333
"48",81.6666666666667
"49",68.3333333333333
"50",86.6666666666667
"51",68.3333333333333
"52",76.6666666666667
"53",66.6666666666667
"54",71.6666666666667
"55",81.6666666666667
"56",78.3333333333333
"57",73.3333333333333
"58",90
"59",75
"60",73.3333333333333
"61",78.3333333333333
"62",85
"63",71.6666666666667
"64",73.3333333333333
"65",78.3333333333333
"66",70
"67",65
"68",75
"69",78.3333333333333
"70",75
"71",80
"72",71.6666666666667
"73",80
"74",75
"75",80
"76",76.6666666666667
"77",80
"78",80
"79",71.6666666666667
"80",80
"81",75
"82",73.3333333333333
"83",85
"84",75
"85",90
"86",73.3333333333333
"87",86.6666666666667
"88",81.6666666666667
"89",86.6666666666667
"90",80
"91",81.6666666666667
"92",75
"93",76.6666666666667
"94",76.6666666666667
"95",83.3333333333333
"96",81.6666666666667
"97",85
"98",85
"99",80
"100",81.6666666666667
"101",75
"102",70
"103",80
"104",80
"105",75
"106",85
"107",83.3333333333333
"108",75
"109",78.3333333333333
"110",80
"111",91.6666666666667
"112",80
"113",73.3333333333333
"114",81.6666666666667
"115",85
"116",75
"117",78.3333333333333
"118",73.3333333333333
"119",93.3333333333333
"120",83.3333333333333
"121",71.6666666666667
"122",83.3333333333333
"123",76.6666666666667
"124",71.6666666666667
"125",81.6666666666667
"126",73.3333333333333
"127",83.3333333333333
"128",81.6666666666667
"129",78.3333333333333
"130",85
"131",75
"132",63.3333333333333
"133",78.3333333333333
"134",73.3333333333333
"135",83.3333333333333
"136",76.6666666666667
"137",83.3333333333333
"138",85
"139",76.6666666666667
"140",78.3333333333333
"141",75
"142",81.6666666666667
"143",86.6666666666667
"144",73.3333333333333
"145",75
"146",73.3333333333333
"147",80
"148",70
"149",78.3333333333333
"150",75
"151",76.6666666666667
"152",81.6666666666667
"153",78.3333333333333
"154",76.6666666666667
"155",85
"156",70
"157",78.3333333333333
"158",78.3333333333333
"159",81.6666666666667
"160",81.6666666666667
"161",78.3333333333333
"162",91.6666666666667
"163",76.6666666666667
"164",81.6666666666667
"165",80
"166",80
"167",75
"168",78.3333333333333
"169",76.6666666666667
"170",68.3333333333333
"171",88.3333333333333
"172",73.3333333333333
"173",76.6666666666667
"174",81.6666666666667
"175",81.6666666666667
"176",63.3333333333333
"177",70
"178",80
"179",78.3333333333333
"180",75
"181",80
"182",63.3333333333333
"183",80
"184",80
"185",78.3333333333333
"186",83.3333333333333
"187",68.3333333333333
"188",73.3333333333333
"189",80
"190",75
"191",80
"192",73.3333333333333
"193",78.3333333333333
"194",81.6666666666667
"195",81.6666666666667
"196",86.6666666666667
"197",80
"198",78.3333333333333
"199",75
"200",78.3333333333333
"201",80
"202",76.6666666666667
"203",80
"204",86.6666666666667
"205",81.6666666666667
"206",80
"207",78.3333333333333
"208",81.6666666666667
"209",83.3333333333333
"210",76.6666666666667
"211",73.3333333333333
"212",88.3333333333333
"213",80
"214",80
"215",75
"216",71.6666666666667
"217",83.3333333333333
"218",73.3333333333333
"219",80
"220",81.6666666666667
"221",81.6666666666667
"222",80
"223",83.3333333333333
"224",83.3333333333333
"225",70
"226",86.6666666666667
"227",80
"228",81.6666666666667
"229",78.3333333333333
"230",76.6666666666667
"231",85
"232",75
"233",83.3333333333333
"234",70
"235",71.6666666666667
"236",80
"237",76.6666666666667
"238",76.6666666666667
"239",86.6666666666667
"240",75
"241",76.6666666666667
"242",63.3333333333333
"243",73.3333333333333
"244",85
"245",81.6666666666667
"246",86.6666666666667
"247",75
"248",83.3333333333333
"249",65
"250",76.6666666666667
"251",80
"252",81.6666666666667
"253",80
"254",83.3333333333333
"255",73.3333333333333
"256",83.3333333333333
"257",73.3333333333333
"258",83.3333333333333
"259",76.6666666666667
"260",81.6666666666667
"261",75
"262",80
"263",71.6666666666667
"264",78.3333333333333
"265",81.6666666666667
"266",71.6666666666667
"267",76.6666666666667
"268",78.3333333333333
"269",71.6666666666667
"270",80
"271",85
"272",83.3333333333333
"273",86.6666666666667
"274",85
"275",81.6666666666667
"276",80
"277",71.6666666666667
"278",80
"279",85
"280",85
"281",75
"282",81.6666666666667
"283",66.6666666666667
"284",85
"285",78.3333333333333
"286",85
"287",68.3333333333333
"288",71.6666666666667
"289",71.6666666666667
"290",75
"291",83.3333333333333
"292",81.6666666666667
"293",73.3333333333333
"294",75
"295",86.6666666666667
"296",81.6666666666667
"297",80
"298",83.3333333333333
"299",83.3333333333333
"300",76.6666666666667
"301",81.6666666666667
"302",81.6666666666667
"303",80
"304",71.6666666666667
"305",83.3333333333333
"306",61.6666666666667
"307",76.6666666666667
"308",85
"309",80
"310",83.3333333333333
"311",83.3333333333333
"312",83.3333333333333
"313",81.6666666666667
"314",80
"315",78.3333333333333
"316",75
"317",70
"318",73.3333333333333
"319",85
"320",75
"321",75
"322",76.6666666666667
"323",81.6666666666667
"324",80
"325",80
"326",81.6666666666667
"327",75
"328",80
"329",85
"330",90
"331",76.6666666666667
"332",80
"333",70
"334",83.3333333333333
"335",73.3333333333333
"336",80
"337",68.3333333333333
"338",83.3333333333333
"339",81.6666666666667
"340",75
"341",90
"342",76.6666666666667
"343",75
"344",78.3333333333333
"345",80
"346",75
"347",80
"348",75
"349",83.3333333333333
"350",81.6666666666667
"351",83.3333333333333
"352",73.3333333333333
"353",70
"354",78.3333333333333
"355",73.3333333333333
"356",73.3333333333333
"357",81.6666666666667
"358",78.3333333333333
"359",70
"360",78.3333333333333
"361",68.3333333333333
"362",76.6666666666667
"363",76.6666666666667
"364",76.6666666666667
"365",71.6666666666667
"366",86.6666666666667
"367",80
"368",78.3333333333333
"369",81.6666666666667
"370",73.3333333333333
"371",80
"372",80
"373",85
"374",80
"375",75
"376",78.3333333333333
"377",71.6666666666667
"378",81.6666666666667
"379",73.3333333333333
"380",76.6666666666667
"381",76.6666666666667
"382",85
"383",75
"384",88.3333333333333
"385",76.6666666666667
"386",66.6666666666667
"387",78.3333333333333
"388",76.6666666666667
"389",83.3333333333333
"390",80
"391",76.6666666666667
"392",80
"393",75
"394",71.6666666666667
"395",86.6666666666667
"396",80
"397",76.6666666666667
"398",80
"399",75
"400",71.6666666666667
"401",81.6666666666667
"402",78.3333333333333
"403",88.3333333333333
"404",78.3333333333333
"405",80
"406",73.3333333333333
"407",73.3333333333333
"408",83.3333333333333
"409",75
"410",73.3333333333333
"411",78.3333333333333
"412",85
"413",75
"414",81.6666666666667
"415",76.6666666666667
"416",78.3333333333333
"417",71.6666666666667
"418",73.3333333333333
"419",76.6666666666667
"420",76.6666666666667
"421",78.3333333333333
"422",78.3333333333333
"423",70
"424",88.3333333333333
"425",76.6666666666667
"426",68.3333333333333
"427",80
"428",81.6666666666667
"429",78.3333333333333
"430",86.6666666666667
"431",80
"432",70
"433",83.3333333333333
"434",81.6666666666667
"435",80
"436",78.3333333333333
"437",76.6666666666667
"438",73.3333333333333
"439",88.3333333333333
"440",80
"441",75
"442",83.3333333333333
"443",71.6666666666667
"444",80
"445",81.6666666666667
"446",83.3333333333333
"447",81.6666666666667
"448",71.6666666666667
"449",81.6666666666667
"450",88.3333333333333
"451",68.3333333333333
"452",75
"453",80
"454",91.6666666666667
"455",78.3333333333333
"456",81.6666666666667
"457",76.6666666666667
"458",76.6666666666667
"459",71.6666666666667
"460",70
"461",73.3333333333333
"462",76.6666666666667
"463",75
"464",71.6666666666667
"465",76.6666666666667
"466",78.3333333333333
"467",61.6666666666667
"468",80
"469",90
"470",81.6666666666667
"471",75
"472",78.3333333333333
"473",81.6666666666667
"474",73.3333333333333
"475",78.3333333333333
"476",75
"477",83.3333333333333
"478",83.3333333333333
"479",70
"480",75
"481",71.6666666666667
"482",76.6666666666667
"483",73.3333333333333
"484",65
"485",75
"486",88.3333333333333
"487",88.3333333333333
"488",80
"489",78.3333333333333
"490",86.6666666666667
"491",81.6666666666667
"492",70
"493",81.6666666666667
"494",80
"495",76.6666666666667
"496",78.3333333333333
"497",85
"498",75
"499",83.3333333333333
"500",76.6666666666667
"501",80
"502",75
"503",71.6666666666667
"504",78.3333333333333
"505",78.3333333333333
"506",83.3333333333333
"507",85
"508",70
"509",75
"510",80
"511",80
"512",75
"513",80
"514",70
"515",81.6666666666667
"516",75
"517",83.3333333333333
"518",73.3333333333333
"519",76.6666666666667
"520",83.3333333333333
"521",81.6666666666667
"522",81.6666666666667
"523",80
"524",73.3333333333333
"525",80
"526",80
"527",80
"528",80
"529",83.3333333333333
"530",73.3333333333333
"531",73.3333333333333
"532",73.3333333333333
"533",70
"534",76.6666666666667
"535",76.6666666666667
"536",86.6666666666667
"537",76.6666666666667
"538",78.3333333333333
"539",66.6666666666667
"540",66.6666666666667
"541",76.6666666666667
"542",63.3333333333333
"543",83.3333333333333
"544",85
"545",86.6666666666667
"546",78.3333333333333
"547",75
"548",75
"549",86.6666666666667
"550",76.6666666666667
"551",85
"552",83.3333333333333
"553",75
"554",65
"555",80
"556",81.6666666666667
"557",75
"558",75
"559",76.6666666666667
"560",75
"561",70
"562",76.6666666666667
"563",78.3333333333333
"564",73.3333333333333
"565",85
"566",73.3333333333333
"567",85
"568",81.6666666666667
"569",75
"570",81.6666666666667
"571",78.3333333333333
"572",73.3333333333333
"573",78.3333333333333
"574",86.6666666666667
"575",83.3333333333333
"576",76.6666666666667
"577",80
"578",76.6666666666667
"579",83.3333333333333
"580",86.6666666666667
"581",80
"582",81.6666666666667
"583",81.6666666666667
"584",83.3333333333333
"585",86.6666666666667
"586",85
"587",83.3333333333333
"588",80
"589",85
"590",75
"591",68.3333333333333
"592",83.3333333333333
"593",81.6666666666667
"594",81.6666666666667
"595",80
"596",85
"597",80
"598",73.3333333333333
"599",81.6666666666667
"600",85
"601",86.6666666666667
"602",71.6666666666667
"603",76.6666666666667
"604",85
"605",76.6666666666667
"606",80
"607",86.6666666666667
"608",80
"609",76.6666666666667
"610",78.3333333333333
"611",75
"612",80
"613",73.3333333333333
"614",71.6666666666667
"615",71.6666666666667
"616",78.3333333333333
"617",80
"618",71.6666666666667
"619",75
"620",70
"621",81.6666666666667
"622",85
"623",78.3333333333333
"624",78.3333333333333
"625",78.3333333333333
"626",81.6666666666667
"627",78.3333333333333
"628",85
"629",76.6666666666667
"630",78.3333333333333
"631",86.6666666666667
"632",68.3333333333333
"633",73.3333333333333
"634",71.6666666666667
"635",76.6666666666667
"636",81.6666666666667
"637",80
"638",80
"639",86.6666666666667
"640",76.6666666666667
"641",80
"642",85
"643",73.3333333333333
"644",78.3333333333333
"645",68.3333333333333
"646",78.3333333333333
"647",75
"648",83.3333333333333
"649",76.6666666666667
"650",63.3333333333333
"651",66.6666666666667
"652",76.6666666666667
"653",83.3333333333333
"654",83.3333333333333
"655",75
"656",81.6666666666667
"657",78.3333333333333
"658",73.3333333333333
"659",86.6666666666667
"660",80
"661",91.6666666666667
"662",81.6666666666667
"663",71.6666666666667
"664",78.3333333333333
"665",71.6666666666667
"666",65
"667",83.3333333333333
"668",71.6666666666667
"669",86.6666666666667
"670",83.3333333333333
"671",75
"672",76.6666666666667
"673",68.3333333333333
"674",81.6666666666667
"675",76.6666666666667
"676",85
"677",81.6666666666667
"678",78.3333333333333
"679",63.3333333333333
"680",75
"681",80
"682",75
"683",83.3333333333333
"684",83.3333333333333
"685",83.3333333333333
"686",75
"687",83.3333333333333
"688",66.6666666666667
"689",78.3333333333333
"690",73.3333333333333
"691",61.6666666666667
"692",75
"693",78.3333333333333
"694",70
"695",71.6666666666667
"696",78.3333333333333
"697",86.6666666666667
"698",65
"699",83.3333333333333
"700",81.6666666666667
"701",86.6666666666667
"702",76.6666666666667
"703",75
"704",78.3333333333333
"705",75
"706",78.3333333333333
"707",75
"708",83.3333333333333
"709",81.6666666666667
"710",81.6666666666667
"711",86.6666666666667
"712",80
"713",80
"714",76.6666666666667
"715",73.3333333333333
"716",78.3333333333333
"717",81.6666666666667
"718",80
"719",76.6666666666667
"720",76.6666666666667
"721",83.3333333333333
"722",81.6666666666667
"723",83.3333333333333
"724",73.3333333333333
"725",83.3333333333333
"726",85
"727",71.6666666666667
"728",81.6666666666667
"729",78.3333333333333
"730",75
"731",71.6666666666667
"732",75
"733",75
"734",70
"735",81.6666666666667
"736",76.6666666666667
"737",81.6666666666667
"738",63.3333333333333
"739",75
"740",88.3333333333333
"741",76.6666666666667
"742",85
"743",75
"744",80
"745",88.3333333333333
"746",73.3333333333333
"747",80
"748",73.3333333333333
"749",70
"750",78.3333333333333
"751",80
"752",76.6666666666667
"753",88.3333333333333
"754",76.6666666666667
"755",75
"756",76.6666666666667
"757",68.3333333333333
"758",78.3333333333333
"759",83.3333333333333
"760",81.6666666666667
"761",76.6666666666667
"762",78.3333333333333
"763",81.6666666666667
"764",76.6666666666667
"765",80
"766",80
"767",85
"768",81.6666666666667
"769",70
"770",80
"771",75
"772",81.6666666666667
"773",75
"774",70
"775",80
"776",76.6666666666667
"777",73.3333333333333
"778",78.3333333333333
"779",75
"780",88.3333333333333
"781",85
"782",83.3333333333333
"783",88.3333333333333
"784",66.6666666666667
"785",73.3333333333333
"786",80
"787",78.3333333333333
"788",76.6666666666667
"789",85
"790",85
"791",71.6666666666667
"792",71.6666666666667
"793",71.6666666666667
"794",78.3333333333333
"795",75
"796",81.6666666666667
"797",85
"798",75
"799",86.6666666666667
"800",73.3333333333333
"801",73.3333333333333
"802",70
"803",81.6666666666667
"804",73.3333333333333
"805",78.3333333333333
"806",86.6666666666667
"807",76.6666666666667
"808",80
"809",81.6666666666667
"810",78.3333333333333
"811",85
"812",81.6666666666667
"813",70
"814",78.3333333333333
"815",71.6666666666667
"816",70
"817",78.3333333333333
"818",83.3333333333333
"819",78.3333333333333
"820",83.3333333333333
"821",81.6666666666667
"822",71.6666666666667
"823",76.6666666666667
"824",71.6666666666667
"825",83.3333333333333
"826",73.3333333333333
"827",73.3333333333333
"828",73.3333333333333
"829",83.3333333333333
"830",85
"831",80
"832",75
"833",76.6666666666667
"834",68.3333333333333
"835",88.3333333333333
"836",75
"837",70
"838",85
"839",81.6666666666667
"840",81.6666666666667
"841",76.6666666666667
"842",83.3333333333333
"843",71.6666666666667
"844",78.3333333333333
"845",78.3333333333333
"846",80
"847",85
"848",75
"849",83.3333333333333
"850",80
"851",81.6666666666667
"852",80
"853",63.3333333333333
"854",75
"855",75
"856",81.6666666666667
"857",76.6666666666667
"858",68.3333333333333
"859",78.3333333333333
"860",88.3333333333333
"861",76.6666666666667
"862",80
"863",88.3333333333333
"864",80
"865",78.3333333333333
"866",68.3333333333333
"867",75
"868",81.6666666666667
"869",88.3333333333333
"870",71.6666666666667
"871",78.3333333333333
"872",73.3333333333333
"873",81.6666666666667
"874",73.3333333333333
"875",81.6666666666667
"876",78.3333333333333
"877",73.3333333333333
"878",73.3333333333333
"879",78.3333333333333
"880",78.3333333333333
"881",83.3333333333333
"882",78.3333333333333
"883",76.6666666666667
"884",76.6666666666667
"885",76.6666666666667
"886",76.6666666666667
"887",88.3333333333333
"888",78.3333333333333
"889",80
"890",78.3333333333333
"891",83.3333333333333
"892",75
"893",83.3333333333333
"894",83.3333333333333
"895",73.3333333333333
"896",71.6666666666667
"897",78.3333333333333
"898",86.6666666666667
"899",83.3333333333333
"900",70
"901",68.3333333333333
"902",78.3333333333333
"903",83.3333333333333
"904",78.3333333333333
"905",68.3333333333333
"906",80
"907",76.6666666666667
"908",78.3333333333333
"909",76.6666666666667
"910",78.3333333333333
"911",81.6666666666667
"912",75
"913",83.3333333333333
"914",90
"915",68.3333333333333
"916",80
"917",78.3333333333333
"918",76.6666666666667
"919",76.6666666666667
"920",73.3333333333333
"921",78.3333333333333
"922",65
"923",85
"924",76.6666666666667
"925",83.3333333333333
"926",71.6666666666667
"927",80
"928",85
"929",76.6666666666667
"930",78.3333333333333
"931",86.6666666666667
"932",75
"933",81.6666666666667
"934",80
"935",73.3333333333333
"936",86.6666666666667
"937",76.6666666666667
"938",83.3333333333333
"939",80
"940",81.6666666666667
"941",86.6666666666667
"942",63.3333333333333
"943",71.6666666666667
"944",78.3333333333333
"945",68.3333333333333
"946",76.6666666666667
"947",83.3333333333333
"948",71.6666666666667
"949",73.3333333333333
"950",71.6666666666667
"951",80
"952",80
"953",86.6666666666667
"954",81.6666666666667
"955",83.3333333333333
"956",75
"957",75
"958",73.3333333333333
"959",90
"960",78.3333333333333
"961",76.6666666666667
"962",76.6666666666667
"963",83.3333333333333
"964",80
"965",66.6666666666667
"966",85
"967",83.3333333333333
"968",78.3333333333333
"969",86.6666666666667
"970",83.3333333333333
"971",80
"972",78.3333333333333
"973",73.3333333333333
"974",80
"975",86.6666666666667
"976",76.6666666666667
"977",73.3333333333333
"978",83.3333333333333
"979",76.6666666666667
"980",85
"981",75
"982",88.3333333333333
"983",85
"984",83.3333333333333
"985",76.6666666666667
"986",80
"987",81.6666666666667
"988",75
"989",86.6666666666667
"990",78.3333333333333
"991",73.3333333333333
"992",76.6666666666667
"993",83.3333333333333
"994",75
"995",76.6666666666667
"996",78.3333333333333
"997",83.3333333333333
"998",71.6666666666667
"999",66.6666666666667
"1000",76.6666666666667
